ID,EaseOfUse,ContentQuality,TechnicalReliability,InteractionFeatures,OverallSatisfaction
1,5,3,4,2,5
2,5,4,3,3,4
3,2,2,2,3,3
4,3,4,3,3,4
5,3,3,4,4,4
6,3,2,1,3,3
7,3,4,3,4,3
8,3,5,5,4,5
9,5,4,4,3,5
10,4,4,4,4,4
11,4,3,3,3,2
12,4,4,3,3,2
13,4,2,4,3,4
14,3,4,3,4,4
15,4,4,3,5,5
16,3,4,1,1,3
17,3,3,3,3,3
18,5,5,5,5,5
19,3,4,3,4,2
20,5,3,3,5,4
21,4,5,5,5,3
22,4,4,4,3,4
23,5,4,4,4,5
24,4,4,5,3,4
25,4,5,3,4,4
26,5,4,4,5,5
27,2,3,4,3,2
28,4,4,3,4,3
29,5,5,5,4,4
30,4,1,1,4,3
31,4,4,3,2,4
32,4,5,4,4,3
33,3,3,3,3,3
34,3,3,2,3,4
35,3,4,3,3,3
36,3,4,2,4,3
37,4,3,3,3,2
38,4,3,4,3,4
39,5,4,2,4,5
40,3,4,4,4,4
41,5,5,3,5,4
42,3,4,4,4,5
43,5,4,5,3,5
44,2,2,2,3,2
45,3,3,2,3,3
46,5,4,5,3,5
47,4,4,4,4,3
48,3,4,4,5,4
49,3,3,1,3,4
50,5,3,3,3,4
51,3,4,4,3,3
52,3,3,4,4,3
53,3,3,4,4,4
54,3,3,3,2,2
55,4,4,4,2,5
56,3,3,1,2,3
57,5,4,5,4,5
58,4,3,3,3,3
59,4,3,3,4,4
60,3,3,3,4,4
61,3,3,4,4,4
62,4,3,4,4,5
63,5,3,4,4,4
64,5,4,4,3,4
65,5,5,4,2,5
66,3,3,4,2,4
67,4,3,4,3,2
68,2,4,4,5,3
69,3,2,3,3,3
70,1,1,3,2,3
71,4,4,5,3,3
72,5,5,5,4,5
73,4,3,2,2,3
74,4,5,4,5,4
75,4,4,4,3,5
76,2,4,3,3,3
77,3,4,5,3,4
78,4,5,4,4,5
79,3,4,4,3,4
80,4,4,3,4,4
81,3,3,3,5,4
82,4,3,3,3,3
83,4,4,5,3,3
84,3,4,3,3,3
85,4,4,4,3,4
86,3,4,4,3,3
87,3,3,3,3,2
88,4,3,3,2,4
89,4,4,5,4,3
90,3,4,2,2,2
91,4,3,3,2,3
92,3,2,4,2,4
93,4,3,4,3,3
94,4,5,3,4,5
95,3,3,2,1,3
96,5,3,3,4,5
97,2,2,2,1,2
98,2,2,2,3,2
99,4,4,4,4,4
100,5,5,5,3,4
101,5,5,3,5,4
102,4,4,2,4,3
103,3,4,4,4,3
104,3,4,4,4,4
105,4,5,3,4,5
106,4,3,3,3,4
107,4,4,3,5,5
108,5,5,3,4,5
109,4,4,4,3,4
110,4,2,3,2,3
111,4,4,4,3,5
112,4,3,3,3,3
113,4,5,5,5,5
114,4,4,3,4,3
115,3,2,3,4,4
116,4,3,3,3,4
117,3,3,3,3,4
118,4,4,4,5,3
119,5,4,4,3,5
120,4,4,4,3,5
121,4,4,4,3,3
122,5,5,4,3,4
123,4,4,3,5,4
124,4,5,3,3,4
125,2,2,3,3,2
126,4,4,4,3,5
127,3,3,4,3,3
128,4,3,4,3,4
129,4,5,5,3,5
130,4,3,3,4,4
131,3,1,3,2,3
132,4,3,3,4,3
133,4,5,2,4,3
134,5,3,4,3,4
135,5,5,5,5,5
136,2,2,3,4,2
137,5,4,5,5,4
138,3,3,3,3,3
139,3,2,2,2,2
140,5,4,4,5,5
141,3,3,3,3,4
142,5,3,3,3,4
143,5,3,5,4,5
144,5,5,4,5,5
145,5,5,5,5,5
146,3,5,4,5,3
147,5,3,4,5,5
148,2,3,3,3,4
149,2,1,3,3,2
150,5,4,4,5,5
151,4,2,4,2,3
152,3,3,2,4,3
153,3,3,4,4,3
154,5,4,4,4,5
155,3,4,4,4,3
156,5,4,3,4,4
157,4,3,3,3,4
158,4,4,3,4,4
159,2,4,2,4,2
160,5,4,4,2,5
161,3,3,2,3,3
162,4,4,5,4,5
163,5,4,4,4,5
164,1,2,2,1,1
165,5,4,3,3,5
166,4,3,3,4,4
167,4,2,3,3,3
168,4,4,4,5,3
169,4,3,3,3,3
170,4,2,3,4,3
171,4,5,4,2,4
172,4,4,2,5,3
173,4,3,3,4,3
174,2,3,2,1,1
175,4,4,4,4,5
176,5,3,5,5,4
177,4,3,4,4,3
178,4,3,3,3,3
179,4,3,2,3,4
180,3,4,3,5,4
181,4,4,4,4,5
182,3,2,2,3,2
183,5,4,3,4,4
184,4,5,4,5,4
185,4,5,3,3,4
186,5,4,4,3,4
187,3,2,3,3,3
188,3,5,3,4,3
189,3,4,3,3,2
190,4,5,3,3,5
191,4,4,1,4,4
192,4,4,4,5,3
193,4,3,4,3,4
194,4,4,4,5,4
195,4,5,5,5,5
196,3,2,1,1,3
197,3,3,3,4,4
198,5,5,3,4,5
199,4,4,4,5,4
200,4,4,5,5,4
