participant_id,current_remote,prefer_remote
1,0,0
2,1,0
3,0,0
4,1,1
5,1,1
6,0,1
7,0,0
8,1,1
9,0,1
10,0,0
11,1,1
12,0,0
13,1,1
14,0,1
15,0,1
16,1,1
17,0,0
18,0,1
19,0,1
20,1,0
21,1,1
22,1,0
23,1,1
24,1,1
25,1,1
26,1,1
27,0,1
28,0,1
29,0,1
30,0,0
31,1,1
32,1,1
33,1,1
34,1,1
35,0,1
36,0,0
37,1,1
38,0,1
39,0,1
40,0,1
41,0,1
42,0,1
43,0,0
44,0,1
45,0,0
46,0,0
47,0,0
48,0,1
49,0,1
50,1,1
51,0,1
52,0,1
53,1,1
54,0,1
55,0,1
56,0,0
57,0,0
58,1,1
59,1,1
60,0,1
61,1,0
62,0,1
63,0,1
64,0,1
65,1,1
66,0,1
67,1,1
68,1,1
69,1,1
70,0,0
71,1,0
72,1,1
73,1,1
74,0,0
75,0,0
76,0,1
77,0,0
78,1,1
79,0,1
80,0,0
81,0,1
82,1,1
83,0,1
84,1,1
85,0,0
86,0,1
87,1,1
88,1,1
89,1,1
90,0,0
91,0,0
92,1,1
93,0,1
94,1,0
95,0,1
96,0,0
97,1,0
98,0,1
99,0,0
100,0,0
101,0,1
102,0,1
103,0,1
104,1,1
105,0,1
106,1,1
107,1,1
108,1,1
109,0,0
110,0,1
111,1,1
112,0,1
113,0,0
114,1,1
115,1,1
116,0,1
117,0,1
118,1,1
119,0,1
120,0,0
121,1,0
122,0,1
123,0,1
124,0,1
125,0,1
126,1,1
127,0,0
128,0,1
129,0,0
130,1,0
131,1,1
132,1,1
133,1,1
134,1,0
135,0,1
136,1,1
137,1,1
138,1,1
139,1,1
140,0,1
141,0,0
142,0,1
143,0,0
144,0,1
145,1,1
146,0,0
147,0,1
148,0,0
149,0,0
150,1,1
151,1,1
152,0,1
153,0,1
154,0,0
155,0,1
156,0,1
157,0,0
158,0,1
159,0,1
160,0,1
161,0,1
162,0,0
163,1,0
164,0,1
165,0,0
166,0,0
167,1,1
168,0,0
169,0,1
170,0,0
171,1,1
172,0,0
173,1,0
174,1,1
175,1,1
176,1,0
177,0,1
178,0,1
179,1,1
180,0,1
181,1,1
182,0,0
183,1,1
184,0,1
185,0,0
186,0,1
187,0,1
188,0,0
189,1,1
190,1,1
191,0,1
192,0,1
193,1,1
194,1,1
195,1,1
196,0,0
197,0,1
198,1,1
199,0,0
200,0,1
