Method,Pretest,Posttest
A,60.5,69.5
A,63,66.5
A,77.5,77.5
A,65.5,66
A,66,66
A,78.5,81.5
A,68.5,75.5
A,55,63.5
A,59.5,71.5
A,61.5,78.5
A,75,75
A,68,61
A,68,78
A,66,67.5
A,60.5,64
A,79.5,85.5
A,69,72
A,49.5,53.5
A,70.5,75.5
A,61,67
A,56.5,64.5
A,63.5,71
A,57,63
A,59,69.5
A,60,66
A,51.5,62.5
A,71.5,80.5
A,66,73.5
A,56,62.5
A,75,83.5
B,72.5,84
B,66.5,78
B,76,83
B,76,78.5
B,75.5,88
B,74.5,77.5
B,73.5,91
B,68.5,84
B,66.5,74
B,66,69.5
B,63.5,69.5
B,67.5,77
B,59,68.5
B,86.5,87
B,78.5,79
B,60,70.5
B,66,70.5
B,65.5,66
B,75,79.5
B,68.5,81
B,71,75.5
B,69,79.5
B,68.5,68.5
B,80,84
B,67,78
B,81,87
B,56.5,68.5
B,73.5,77
B,70,73
B,70.5,73
